# CSV-File created with merge-csv.com
# -----------------------------------------------------------

,Product Name,Brand Name,Detail,Dose,Pack Size,Features,Image Link,Product Link
4,GROMOR 28:28:0,Coromandel,"A complex fertiliser containing 2 major nutrients, Nitrogen at 28% and Phosphorus at 28%, provides instantaneous and prolonged greenness for crops.",,Pack Size 50 KG,"This is the highest Nitrogen containing complex fertiliser with 28%.
Nitrogen in two different forms through longer period of time. 19% of Nitrogen is in Urea form and 9% is in Ammoniacal form.
25.2% out of 28% Phosphate is in water soluble form and easily available to plants.
Ammonium Phosphate is coated over Urea prill, due to which the losses from Urea will be minimised.",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor_28_28_0_big.png,https://www.coromandel.biz/product-service/gromor-28-28-0/
5,GROMOR - 20:20:0:13,Coromandel,"An excellent fertiliser for all crops grown in Sulphur deficient soil, with Nitrogen at 20%, Phosphorus at 20% and Sulphur at 13%.",,Pack size 50 Kg,"Contains Nitrogen – 20%, Phosphorus – 20% (P2O5) and Sulphur – 13%.
18% N is available in Ammoniacal (NH4) form and 2% is available in Amide form. Known as Ammonium Phosphate Sulphate.
High amount of P available in water soluble form (85%). 
13% Sulphate sulphur (as S).",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor_20_20_0_13_big.png,https://www.coromandel.biz/product-service/gromor-20-20-0-13/
6,GROMOR 15:15:15:09,Coromandel,"Nitrogen at 15%, Phosphorus at 15%, Potassium at 15% and Sulphur at 9% make this fertiliser ideal for vegetative growth in plantation crops like tea, coffee, arecanut etc.",,Pack Size 50 KG,"Ammonium Phosphate Sulphate with Potash grade with NPK is in 1:1:1 ratio.
Contains N in Ammoniacal and Urea form, which are less prone to leaching thus improves Nitrogen use efficiency.
Out of 15% P, 13% water soluble P2O5.
Contains 15% Potassium and 9% sulphur.",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor_15_15_15_9_big.png,https://www.coromandel.biz/product-service/gromor-15151509/
7,GROMOR - 12:32:16,Coromandel,"GROMOR 12:32:16 is a complex fertiliser containing all three major plant nutrients viz. Nitrogen 12%, Phosphorous 32% and Potassium 16%.",,Pack Size 50 KG,"GROMOR 12:32:16 is a complex fertiliser containing all three major plant nutrients viz. Nitrogen 12%, Phosphorous 32% and Potassium 16%.
This is one of the highest nutrients containing NPK complex fertiliser with total nutrients of 60%.
Nitrogen and Phosphate are available in the ratio 1:2.6 as in the case of DAP, but GROMOR 12:32:16 also contains 16% Potash additionally.
GROMOR 12:32:16 is an ideal complex for soyabean, potato and other commercial crops which require high Phosphate during the initial stages of growth.
GROMOR 12:32:16 helps young plants to establish faster, even under adverse soil or
climatic conditions.
GROMOR 12:32:16 helps in greater root penetration and better root system even in poor soils of unstable structure resulting in higher yield from such soils.",https://www.coromandel.biz/wp-content/uploads/2021/12/gromor_12_32_16_big.png,https://www.coromandel.biz/product-service/gromor-123216/
8,GROMOR ULTRA 10:26:26,Coromandel,A Zinc fortified fertiliser containing 0.5 % Zinc is essential for better yield and quality.,,Pack Size 50 KG,"Unique grade from Coromandel.
Contains Phosphorous and Potassium in 1:1 ratio with Nitrogen, hence ideal for basal applications and top dressing.
Phosphorous is available in mostly water-soluble form and easily available to crops.
It is a Zinc fortified fertiliser containing 0.5 % Zinc which is essential for better yield and quality.
It ensures uniform application of Zinc into soil.",https://www.coromandel.biz/wp-content/uploads/2021/12/gromor_ultra_10_26_26_big.png,https://www.coromandel.biz/product-service/gromor-ultra-102626/
9,GROMOR 10:26:26,Coromandel,"With Nitrogen at 10%, Phosphorus at 26% and Potassium at 26%, it is the most preferred one by farmers for sugarcane, potato and fruits.",,Pack Size 50 KG,"Gromor 10:26:26 is a complex fertiliser containing all the three major plant nutrients viz. Nitrogen, Phosphorous and Potassium.
It contains Phosphorous and Potassium in the ratio of 1:1, the highest among the NPK fertilisers. 
It contains 7% Nitrogen in the ammonical form, 22% out of 26% Phosphate in the water soluble form and the entire 26% Potash is available in the water soluble form.",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor_10_26_26_big.png,https://www.coromandel.biz/product-service/gromor-10-26-26/
10,GROMOR 10:26:26,Coromandel,,,,,,https://www.coromandel.biz/product-services/complex/
11,GROMOR 10:26:26,Coromandel,,,,,,https://www.coromandel.biz/product-services/dap/
12,GROMOR 10:26:26,Coromandel,,,,,,https://www.coromandel.biz/product-services/mop/
13,GROMOR 10:26:26,Coromandel,,,,,,https://www.coromandel.biz/product-services/ssp/
14,GROMOR 10:26:26,Coromandel,,,,,,https://www.coromandel.biz/product-services/urea/
0,Godavari Ultra DAP,Coromandel,DAP with the power of Zinc,"Godavari Ultra DAP is highly suitable for cereals like paddy, wheat and maize. Highly suitable for Zinc deficient soils. Suitable for basal application for almost all crops because Zinc helps good growth in early stages.",Pack Size 50 KG,"Godavari Ultra DAP is a fortified Di Ammonium Phosphate produced by Coromandel.
Godavari Ultra DAP is fortified with Zinc which is the most vital micro nutrient in Indian condition.
Godavari Ultra DAP provides 18% Nitrogen & 46% Phosphate along with 0.5% Zinc.
",https://www.coromandel.biz/wp-content/uploads/2021/12/godavari_ultra_dab_small.png,https://www.coromandel.biz/product-service/godavari-ultra-dap/
1,Gromor / Godavari DAP,Coromandel,"This ideal fertiliser for basal application has Nitrogen at 18% and Phosphorus at 46% and is ideal for crops like paddy, jowar, maize, oilseed crops etc.",,Pack Size 50 KG,"Godavari DAP (N:P2O5 18:46) is a complex fertiliser containing two major plant nutrients – Nitrogen and Phosphorus in the ratio of 1:2.5.
Entire Nitrogen is in the ammonical form and most of the Phosphorous is in water soluble form (41.6%).",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor_godavari_dab.png,https://www.coromandel.biz/product-service/godavari-dap/
2,Gromor / Godavari DAP,Coromandel,,,,,,https://www.coromandel.biz/product-services/complex/
0,GROPLUS,Coromandel,"This is the choice of the progressive farmer which helps not only with more seeds, flowers and fruits but also acts as a soil conditioner.",,Pack Size 50 KG,"It conatins 16% Phosphate, 11% Sulphur, 19% Calcium, 0.5% Zinc, 0.2% Boron.
Out of 16%, 14.5% water soluble phosphorous, the maximum content of pre phosphoric acid is 4%. Sulphate sulphur (as S) minimum 11%.",https://www.coromandel.biz/wp-content/uploads/2021/06/groplus_big.png,https://www.coromandel.biz/product-service/groplus/
1,Gromor BoroSuper,Coromandel,Harvest of happiness,,Pack Size 50 KG,"Boron fortified SSP
16% Phosphate, 11% Sulphur, 19% Calcium, 0.2-0.3% Boron",https://www.coromandel.biz/wp-content/uploads/2021/12/gromor_borosuper_big.png,https://www.coromandel.biz/product-service/gromor-borosuper/
2,GROMOR MAGIK,Coromandel,Harvest of happiness,,Pack Size 50 KG,"Zinc fortified SSP
16% Phosphate, 11% Sulphur, 19% Calcium, 0.5% Zinc",https://www.coromandel.biz/wp-content/uploads/2021/12/gromor_magik_big.png,https://www.coromandel.biz/product-service/gromor-magik/
3,GROMOR SSP,Coromandel,"Crafted with 16% Phosphate, 11% Sulphur and 19% Calcium, this fertiliser promises healthy and happy harvests for crops that range from grains to oilseeds to vegetables.",,Pack Size 50 KG,"Contains 16% Phosphate, 11% Sulphur, 19% Calcium.
Friable / equal size of granules, Non lumpy, Guaranteed nutrient.
Accurate weight and Tamper proof seal.",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor-ssp_big.png,https://www.coromandel.biz/product-service/gromor-ssp/
4,GROMOR SSP,Coromandel,,,,,,https://www.coromandel.biz/product-services/complex/
5,GROMOR SSP,Coromandel,,,,,,https://www.coromandel.biz/product-services/dap/
6,GROMOR SSP,Coromandel,,,,,,https://www.coromandel.biz/product-services/mop/
7,GROMOR SSP,Coromandel,,,,,,https://www.coromandel.biz/product-services/ssp/
8,GROMOR SSP,Coromandel,,,,,,https://www.coromandel.biz/product-services/urea/
9,GROMOR MOP,Coromandel,"With Potassium being the only ingredient, this fertiliser is ideal for both basal and top dressing, improving colour, flavour and storing quality of fruits and vegetables.",,Pack Size 50 KG,"In MOP the available K2O is 60%. Sodium as NaCI per cent by weight (on dry basis) maximum – 3.5%.
Moisture per cent by weight, maximum 0.5%.",https://www.coromandel.biz/wp-content/uploads/2021/06/gromor_mop_big.png,https://www.coromandel.biz/product-service/gromor-potash/
10,GROMOR MOP,Coromandel,,,,,,https://www.coromandel.biz/product-services/urea/
0,ABDA®,Coromandel,"This is a proprietary plant-based bio-stimulant that helps in improving soil microflora, thereby enhancing the nutrition assimilation.",4-8 Kg/acre,"Pack Size 1 Kg, 4 Kg & 10 Kg","A unique proprietary plant-based bio stimulant developed by Coromandel International Limited.
Helps in improving soil microflora and there by enhances the nutrition assimilation.
Helps in strengthening plant defence mechanism.
Improves the quality and quantity of the produce.
Increases the cost benefit ratio.
Approved by IMO control for organic cultivation.",https://www.coromandel.biz/wp-content/uploads/2021/07/abada_big-1.png,https://www.coromandel.biz/product-service/abda/
1,ABDA GOLD®,Coromandel,"This is a variant of ABDA, enriched with organic humic and fulvic acids which help in early crop establishment and providing uniform vegetative growth & maturity.",4-8 Kg/acre,"Pack Size 1 Kg, 4 Kg & 10 Kg","A unique proprietary plant-based bio stimulant developed by Coromandel International Limited.
Variant of ABDA enriched with organic humic and fulvic acids.
Helps in early crop establishment.
Strengthens plant defence mechanism.
Provides uniform vegetative growth & maturity.
Improves the quality and quantity of the produce.
Improves the economic yield of the crop.",https://www.coromandel.biz/wp-content/uploads/2021/07/abda-gold.png,https://www.coromandel.biz/product-service/abda-gold/
2,NEEMAZAL F®,Coromandel,"With Azadirachtin at 50000 ppm concentration and registered under CIB & RC, this is an effective insecticide managing both chewing & sucking pests.",1-2 ml/litre of water,"Pack Size 100 mL, 259 mL, 500 mL, 1L & 5L","Azadirachtin product with 50000ppm concentration registered under CIB & RC.
Approved with 2-year shelf under CIB & RC.
Translocate through both xylem & phloem which helps in managing both chewing & sucking pest.
Controls insect during all life stage such as egg, larva, pupa and adult.
Provides multiple mode of action such as antifeedant, repellent, Insect growth regulator and ovipositional deterrent, etc.
Product with good translocation activity and acropetal movement.",https://www.coromandel.biz/wp-content/uploads/2021/07/neemazal-f.png,https://www.coromandel.biz/product-service/neemazal-f/
3,NEEMAZAL T/S®,Coromandel,"Registered under CIB & RC, with Azadirachtin at 10000 ppm concentration this helps in managing both chewing & defoliating pests.",3 ml/litre of water,"Pack Size 100 ml, 250 ml, 500 ml, 1L, 5L, 10L, 20L, & 50L","Organic certified product by IMO control.
Azadirachtin product with 10000 ppm concentration registered under CIB & RC.
Approved with 2-year shelf under CIB & RC.
Helps in managing chewing/defoliating pests.
Product with good translaminar action.
Controls insect during all life stage such as egg, larva, pupa and adult.
Provides multiple mode of action such as antifeedant, repellent, insect growth regulator and ovipositional deterrent etc.",https://www.coromandel.biz/wp-content/uploads/2021/07/neemazal-ts.png,https://www.coromandel.biz/product-service/neemazal-ts/
4,PARRY INDIKA®,Coromandel,"This is an Azadirachtin product with 1500 ppm concentration, effective against both chewing & defoliating pests.",5 ml/litre of water,"Pack Size 100 ml, 250 ml, 500 ml, 1L, 5L & 10L"," Organic certified product by IMO control.
Azadirachtin product with 1500 concentration registered under CIB & RC.
Product produced from high quality neem seed which is free from impurities.
Helps in managing chewing/defoliating pests.
Product with good translaminar action.
Controls insect during all life stage such as egg, larva,  pupa and adult.
Provides multiple mode of action such as antifeedant, repellent, Insect growth regulator and ovipositional deterrent etc.",https://www.coromandel.biz/wp-content/uploads/2021/07/parry-indika.png,https://www.coromandel.biz/product-service/parry-indika/
5,PARRY NEEM®,Coromandel,"It is 100% Neem cake that acts as a soil conditioner which inhibits nitrification, reduces losses and thus ensures that more nitrogen is available to the crops.",150-200 Kg/acre,Pack Size 26 Kg & 40 Kg,"A wholesome neem meal from Neem seed kernels with total quality control.
Parryneem is a clear, pure and hygienic product which acts as a soil conditioner.
Inhibits nitrification, reduces losses and thus makes more nitrogen available to the crops.
Excellent source of natural macro and micro-nutrient.
Provides natural protection to plants from the perils of soil dwelling insect-pests, diseases and nematodes.
Contains Azadirachtin and other limonoids from Neem, which protect plant roots and young plants from wide range of insects-pests due to antifeedant and repellent properties.
Improves yield & increases cost benefit ratio.",https://www.coromandel.biz/wp-content/uploads/2021/07/parry-neem.png,https://www.coromandel.biz/product-service/parry-neem/
6,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/product-services/bio-products/
7,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/product-services/fungicide/
8,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/product-services/herbicide/
9,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/product-services/insecticide/
10,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/product-services/plant-growth-regulators/
11,PARRY NEEM®,Coromandel,,,,,,https://www.coromandel.biz/technical-2/
0,AAROOSH,Coromandel,"This foliar contact fungicide interferes effectively at different locations in the metabolism of the fungi, preventing spore germination and germ tube formation.",,"Pack Size 100 gm, 250 gm, 500 gm & 1 Kg","Aaroosh is a foliar contact fungicide.
Aaroosh interferes at different locations in the metabolism of the fungi. It prevents spore germination and germ tube formation.
Aaroosh remains on the treated plant surface. It has very good adhesive property and rain fastness.
Aaroosh suspension stays stable without settling down for longtime.
Aaroosh’s multi-site mode of action on fungi prevents the development of resistance against it.
Aaroosh has zinc available in the complex form which is easily taken up by the plants.
Aaroosh can be applied at various stages of crop as a protective treatment on several crops for the control of various fungal diseases.",https://www.coromandel.biz/wp-content/uploads/2021/07/aaroosh.png,https://www.coromandel.biz/product-service/aaroosh/
1,HEXASTOP,Coromandel,"This is a xylem mobile systemic fungicide which has preventive and curative control capabilities, while being safe on humans, birds and mammals.",,"Pack Size 50g, 100 g, 250 g, 500g, 1 kg pack and 5 kg drum","Broad spectrum disease control
A xylem mobile systemic fungicide
Wide spectrum of use – Seed Dressing, Foliar and Drenching
Preventive and curative disease control
Phytotonic effect due to Sulphur atom
Highly effective in controlling a number of fungal diseases with specialised management for few select pathogens
Safe for human beings, birds & mammals – Green triangle",https://www.coromandel.biz/wp-content/uploads/2021/07/hexastop.png,https://www.coromandel.biz/product-service/hexastop/
2,JATAYU,Coromandel,It is a broad-spectrum fungicide with superior protective action thanks to its multisite mode of action and anti-sporulant activity.,,"Pack Size 100 gm, 250 gm & 1 Kg","Broad spectrum fungicide.
It is having superior protective action due to its multisite mode of action and anti-sporulant activity.
It has long persistence on crop surface and low soil mobility.
It gives control up to 10 days.
It is one of the best alternatives in complex disease outbreak situation.",https://www.coromandel.biz/wp-content/uploads/2021/07/jatayu.png,https://www.coromandel.biz/product-service/jatayu/
3,LANCIA,Coromandel,"Patented and unique, this protectant fungicide prevents the fungus from penetrating the plant.",,"Pack Size 100 gm, 250 gm, 500 gm & 1 Kg","Lancia is a patented and unique fungicide.
Lancia has dual action having contact and systemic properties.
Lancia is rapidly absorbed by the plants and translocated towards leaf tips.
It is a protectant fungicide that prevents the fungus from penetrating the plant, which prevents multiplication & spread of pathogen.
It also gives good curative control.
No resistance risk, helpful in resistance management.",https://www.coromandel.biz/wp-content/uploads/2021/07/lancia.png,https://www.coromandel.biz/product-service/lancia/
4,MARLETT M 45,Coromandel,"Besides being a broad-spectrum contact fungicide, it is also an additional source of Zinc and Manganese for the plants.",,"Pack Size 100 gm, 250 gm, 500 gm & 1 kg","It is broad spectrum contact fungicide.
It is having multi-site activity on the cell wall.
It acts as an additional source on Zn and Mn in the plant.
Cost effective and gives long duration of control.",https://www.coromandel.biz/wp-content/uploads/2021/07/marlett-m-45.png,https://www.coromandel.biz/product-service/marlett-m-45/
5,MAGNITE,Coromandel,"It is a broad-spectrum product that offers preventive, systemic and curative activity through its ingredients Azoxystrobin and Difenoconazole.",,"Pack Size 100 mL, 200 mL, 500 mL & 1 L","It is a broad-spectrum product.
It offers preventive, systemic and curative activity.
It provides a resistance management tool.
The product demonstrates rapid uptake with translaminar and xylem-systemic movement.
Its two highly eflcacious active ingredients combine to provide sustained peak performance for maximum yield and high return on investment.",https://www.coromandel.biz/wp-content/uploads/2021/07/magnite.png,https://www.coromandel.biz/product-service/magnite/
6,PROSPELL,Coromandel,"It is a patented broad-spectrum fungicide which has both contact and systemic mode of action, possessing very good preventive and curative properties.",,"Pack Size 100 ml, 250 ml, 500 ml, 1 L","Prospell is a patented and unique fungicide.
Prospell is a broad spectrum fungicide.
Prospell has both contact and systemic mode of action.
Prospell has very good preventive and curative properties which provides flexibility and broad window of application.
No risk of resistance because of multi-site mode of action so helpful in resistance management.
Prospell impacts positively on the physiological activity of the applied crop by improving the yield and quality of the produce, thus fetching better price.",https://www.coromandel.biz/wp-content/uploads/2021/07/prospell.png,https://www.coromandel.biz/product-service/prospell/
7,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/product-services/bio-products/
8,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/product-services/fungicide/
9,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/product-services/herbicide/
10,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/product-services/insecticide/
11,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/product-services/plant-growth-regulators/
12,PROSPELL,Coromandel,,,,,,https://www.coromandel.biz/technical-2/
0,ASTRA,Coromandel,"This insecticide with Pymetrozine works effectively against BPH by making them stop feeding, paralysing their hind legs and stopping them from laying eggs.",,"Pack Size 120 gm, 250 gm, 500 gm & 1 kg","Astra has unique mode of action against resistant BPH.
ASTRA has fast action that stops feeding and causes paralysis of hind legs.
Astra prevents egg laying capability of hoppers.
Astra protects plant at critical reproductive stage by improving plant health and leading to better yield.
Astra has systemic and translaminar movement giving full protection to the crop.
Astra exhibits high rain fastness.
Astra is environment-friendly.",https://www.coromandel.biz/wp-content/uploads/2021/07/astra.png,https://www.coromandel.biz/product-service/astra/
1,FINIO,Coromandel,It has quick Knockdown effect for all stages of whiteflies and has Diafenthiuron and Pyriproxifen as its main ingredients.,,"Pack Size 100 ml, 200 ml, 500 ml, 1L & 5L","It provides one shot solution for all stages of Whitefly (Eggs, Nymphs and Eggs).
It has quick Knockdown effect and long residual action.
It’s unique combination with two different mode of action.
It possesses Phytotonic effect.",https://www.coromandel.biz/wp-content/uploads/2021/07/finio.png,https://www.coromandel.biz/product-service/finio/
2,FORNAX SC,Coromandel,"Besides providing long duration control against Lepidopteran pests, it also facilitates better flowering and a robust crop.",,"Pack Size 10 ml, 30 ml, 60 ml & 150 ml","Fornax® has Amazing control over lepidopteran pests.
Fornax® gives long duration control.
Fornax® gives better flowering and robust crop.
Fornax® provides high quality and better yield in crops.
Fornax® has green triangle which is safe for crop and beneficial insects.
Fornax® helps in getting better profits.",https://www.coromandel.biz/wp-content/uploads/2021/07/fornax-sc.png,https://www.coromandel.biz/product-service/fornax-s/
3,FORNAX GR,Coromandel,This has long duration control over Yellow Stem Borers and helps in the development of healthy stem and roots.,,Pack Size 4 kg,"Fornax® Gr has excellent control over yellow stem borer.
Fornax® Gr helps in development of healthy stem and strong root development.
Fornax® Gr gives more number of healthy tillers.
Fornax® Gr gives long duration control.
Fornax® Gr helps in reduction of white earheads.
Fornax® Gr helps in getting more healthy panicles.
Fornax® Gr helps in better grain filling.
Fornax® Gr is safe for beneficial insects and environment.",https://www.coromandel.biz/wp-content/uploads/2021/07/fornax-gr.png,https://www.coromandel.biz/product-service/fornax-gr/
4,MAKEBA,Coromandel,"A broad-spectrum insecticide, it provides long-lasting protection against a variety of pests across a variety of crops.",,"Pack Size 20 ml, 100 ml & 180 ml","It provides long-lasting, broad-spectrum control of insect pests in a variety of crops.
It kills insects faster.
It is active by ingestion (stomach poison) as well as contact.
It penetrates into leaf (translaminar) to provide control of thrips and leaf miner.
It is very effective at low rates and has low impact on most of the beneficial insects and non-target organisms in field conditions.
Winner of ‘The Presidential Green Chemistry Challenge Award’ in the category for ‘designing safer chemicals’ given by the US government.",https://www.coromandel.biz/wp-content/uploads/2021/07/makeba.png,https://www.coromandel.biz/product-service/makeba/
5,MYTHRI,Coromandel,"With Fipronil and Hexythiazox as its main ingredients, it gives effective control over thrips and mites while providing holistic control over sucking pest complex.",,"Pack Size 100ml, 250ml, 500ml & 1L","MYTHRI is a suspension concentrate containing Fipronil 7% and Hexythiazox 2% in the formulation.
MYTHRI has dual mode of action: Systemic action through contact & oral causing disruption of central nervous system (GABAA receptors). IGR (insect growth regulator) action with ovicidal and nymphicidal effects.
MYTHRI has effective control on thrips and mites providing holistic control over sucking pest complex.",https://www.coromandel.biz/wp-content/uploads/2021/07/mythri.png,https://www.coromandel.biz/product-service/mythri/
6,PHENDAL,Coromandel,It is a broad-spectrum insecticide and an acaricide with a rapid knockdown action that breaks the resistance of insects.,,"Pack Size 100 ml, 250 ml, 500 ml, 1 litre and 5 litres","It has broad-spectrum action as insecticide
Rapid knockdown action with long term control and breaks resistance of insects
Great synergistic activity and Ovicidal action
It acts as cholinesterase inhibitor
It has strong pungent odour which prevents adult moth from lay eggs",https://www.coromandel.biz/wp-content/uploads/2021/07/phendal.png,https://www.coromandel.biz/product-service/phendal/
7,PHENDAL,Coromandel,,,,,,https://www.coromandel.biz/product-services/bio-products/
8,PHENDAL,Coromandel,,,,,,https://www.coromandel.biz/product-services/fungicide/
9,PHENDAL,Coromandel,,,,,,https://www.coromandel.biz/product-services/herbicide/
10,PHENDAL,Coromandel,,,,,,https://www.coromandel.biz/product-services/insecticide/
11,PHENDAL,Coromandel,,,,,,https://www.coromandel.biz/product-services/plant-growth-regulators/
12,PHENDAL,Coromandel,,,,,,https://www.coromandel.biz/technical-2/
0,ARITHRI,Coromandel,"This is an Arbuscular Mycorrhizal Fungi containing fine fragment of fungal host filaments in Wettable Powder formulation, facilitating soil, root and plant health.",,"Pack Size 2 Kg, 4 Kg","Eight endomycorrhiza species involved.
Made as wettable powder formulation (1st in India).
Uniform distribution of Mycorrhizal spores in the carrier.
High loading of Mycorrhizal spores through using AMF gel technical.
Mycorrhizal spores are loaded many fold far higher than FCO requirement.
Can be applied as suspended particles after the dispersal in water (through drip irrigation and soil drenching).
On application excellent spreading of spores in the rhizosphere.
Hygroscopic nature helps mix very well with fertilizer and facilitates uniform broadcast.
Unique HYT by Agrinos USA.",https://www.coromandel.biz/wp-content/uploads/2021/07/arithri.png,https://www.coromandel.biz/product-service/arithri/
1,FANTAC PLUS,Coromandel,"A L-cysteine based plant growth regulator, it is a combination of all essential amino acids and vitamins required for both vegetative and reproductive growth of plants.",,"Pack Size 25 ml, 50 ml, 100 ml, 250 ml, 500 ml, 1 litre and 5 litres","It is a L-cysteine based plant growth regulator available in the market.
It is a combination of all essential amino acids and vitamins required for plant growth.
It helps in both vegetative and reproductive growth.
It helps to overcome stress conditions.
It helps in better flowering, fruit development and yield.
Depending upon specific requirement of the plant it supplies the essential amino acids.
Enhances stomatal growth & chlorophyll synthesis.
Promotes femaleness in dioecious flowers.
Ensures better fruit quality thus ensures better price.",https://www.coromandel.biz/wp-content/uploads/2021/07/fantac-plus.png,https://www.coromandel.biz/product-service/fantac-plus/
2,PLATINA,Coromandel,"It is a plant growth regulator, that is a combination of all essential amino acids and vitamins required for plant growth.",,"Pack Size 25 ml, 50 ml, 100 ml, 250 ml, 500 ml, 1 litre and 5 litres",,https://www.coromandel.biz/wp-content/uploads/2021/07/platina.png,https://www.coromandel.biz/product-service/platina/
3,PLATINA,Coromandel,,,,,,https://www.coromandel.biz/product-services/bio-products/
4,PLATINA,Coromandel,,,,,,https://www.coromandel.biz/product-services/fungicide/
5,PLATINA,Coromandel,,,,,,https://www.coromandel.biz/product-services/herbicide/
6,PLATINA,Coromandel,,,,,,https://www.coromandel.biz/product-services/insecticide/
7,PLATINA,Coromandel,,,,,,https://www.coromandel.biz/product-services/plant-growth-regulators/
8,PLATINA,Coromandel,,,,,,https://www.coromandel.biz/technical-2/
